edge_from,edge_to,scores,labels
32223,32223,32223,3722
786,1281,2.797380830088514e-06,-1
786,1283,0.0009679390350356698,-1
1003,1377,3.250009513067198e-06,-1
853,1505,1.0160928098912336e-07,-1
844,1235,0.00015487703785765916,-1
857,1235,1.1382751836208627e-05,-1
838,1522,4.699807050201343e-06,-1
837,1522,2.743319328146754e-06,-1
839,1522,3.977866072091274e-06,-1
1039,1365,1.7902308172779158e-05,-1
885,1234,6.663031513198803e-07,-1
985,1601,4.203077878628392e-06,-1
832,1569,2.1224743250058964e-05,-1
834,1569,1.6875331994015141e-06,-1
835,1569,1.3694675544684287e-06,-1
884,1252,1.8899932911153883e-05,-1
828,1590,4.714878014056012e-05,-1
828,1589,3.838762495433912e-05,-1
828,1591,3.302400273241801e-07,-1
873,1234,6.771095968360896e-07,-1
861,1235,3.030168591067195e-05,-1
770,1200,2.6066329610330286e-06,-1
761,1200,2.7353564746590564e-06,-1
995,1264,0.00011888134031323716,-1
882,1281,1.9265430637460668e-06,-1
868,1281,3.9141714296420105e-06,-1
882,1283,4.137530140724266e-07,-1
868,1283,5.879678610654082e-07,-1
854,1552,4.0700837189433514e-07,-1
868,1552,4.0973351133288816e-05,-1
854,1553,1.3910504037539795e-07,-1
882,1553,1.0174444753374701e-07,-1
868,1540,6.450872547247855e-07,-1
854,1541,1.0379894774814602e-06,-1
868,1541,1.1529322364367545e-05,-1
728,1457,1.4918493434379343e-05,-1
728,1456,3.372144192326232e-06,-1
766,1200,3.4116756069124676e-06,-1
901,1234,0.005738598294556141,-1
986,1264,0.000380584504455328,-1
843,1482,9.55414361669682e-06,-1
792,1234,1.706585067040578e-06,-1
791,1234,2.261628878841293e-06,-1
793,1234,1.0097978702106047e-06,-1
792,1235,6.283391485339962e-06,-1
793,1235,1.1434933185228147e-05,-1
144,1202,6.285572908382164e-06,-1
913,1552,4.121347046748269e-06,-1
913,1553,1.0039657638571953e-07,-1
914,1553,1.8343278895827098e-07,-1
899,1553,1.4995165997788718e-07,-1
900,1553,1.080808473830075e-07,-1
913,1540,4.148593575337145e-07,-1
913,1541,2.843172978828079e-06,-1
