edge_from,edge_to,scores,labels
778,1124,7.0606815825158264e-06,-1
941,1427,2.300890082551632e-05,-1
942,1140,1.4850562024548708e-07,-1
361,1601,2.509065666345123e-07,-1
332,1139,0.00020079175010323524,-1
719,1424,1.1518412748046103e-06,-1
713,1424,1.9533333670551656e-06,-1
860,1237,1.5510979210375808e-05,-1
813,1425,0.0001345363270957023,-1
732,1105,5.883845801690768e-07,-1
674,1123,4.899438408756396e-06,-1
673,1123,0.000363074621418491,-1
674,1117,1.1497173545649275e-05,-1
724,1152,1.2389784842525842e-06,-1
667,1345,8.029717719182372e-06,-1
666,1345,6.954001491976669e-06,-1
762,1378,0.0008289458928629756,-1
762,1377,0.00021367351291701198,-1
923,1479,3.0560149753000587e-06,-1
941,1479,1.1919046016828361e-07,-1
912,1457,7.835740689188242e-06,-1
913,1473,0.0005710108671337366,-1
675,1330,3.665044687295449e-06,-1
695,1329,1.9807871467492077e-06,-1
697,1329,1.4577665297110798e-07,-1
665,1329,4.0987129068525974e-07,-1
672,1219,0.0006002368172630668,-1
737,1106,2.0222531020408496e-05,-1
772,1125,1.1169353456352837e-05,-1
817,1165,3.66586596101115e-06,-1
946,1218,1.3820859749102965e-05,-1
374,1250,8.62424167280551e-06,-1
946,1264,0.00020926084835082293,-1
932,1264,9.493716788711026e-06,-1
846,1400,1.2518911773895525e-07,-1
849,1411,2.5397512217750773e-06,-1
855,1136,5.440084350993857e-05,-1
817,1141,0.0005520696868188679,-1
880,1239,2.3568902633996913e-06,-1
866,1203,1.491881994297728e-05,-1
736,1377,6.973238487262279e-05,-1
776,1185,0.00028267528978176415,-1
744,1381,0.005168169736862183,-1
931,1790,1.1059854898576305e-07,-1
832,1426,0.0002327258698642254,-1
832,1427,0.0007897221948951483,-1
832,1428,4.985366786058876e-07,-1
731,1237,1.3700449699172168e-06,-1
787,1125,2.14300598599948e-06,-1
792,1125,2.7880457764695166e-06,-1
871,1424,1.2920146730266424e-07,-1
871,1423,1.4915097779066855e-07,-1
874,1411,2.185204039051314e-06,-1
745,1377,3.395247404114343e-05,-1
746,1377,4.59707916888874e-06,-1
728,1370,1.4288620775460004e-07,-1
758,1378,0.00022653609630651772,-1
747,1378,2.2838123641122365e-06,-1
759,1378,3.5947837204730604e-06,-1
758,1377,2.677678139662021e-06,-1
772,1216,0.0037921813782304525,-1
791,1202,3.627973512720928e-07,-1
772,1202,7.589326287416043e-06,-1
400,1255,1.612742562429048e-05,-1
751,1200,1.3126138753705163e-07,-1
744,1237,1.2638124644581694e-05,-1
837,1412,2.9222820785435033e-07,-1
944,1264,0.0005592592642642558,-1
680,1329,1.2707302232684015e-07,-1
878,1400,1.0838239177246578e-06,-1
858,1400,1.3461247760915285e-07,-1
881,1400,1.3102478533255635e-06,-1
878,1410,2.7337450774211902e-06,-1
858,1410,2.2214213402094174e-07,-1
881,1410,3.3266080663452158e-06,-1
878,1411,2.5344475034216885e-06,-1
881,1411,3.2388797990279272e-06,-1
855,1219,2.3849431727285264e-06,-1
857,1219,0.00013631759793497622,-1
730,1411,2.2806651031714864e-05,-1
880,1152,1.1334901017789889e-07,-1
880,1153,1.0789876370154161e-07,0
886,1203,0.0012854964006692171,-1
887,1203,1.2597824024851434e-05,-1
791,1220,3.062478413085046e-07,-1
741,1352,1.2267661077203229e-05,-1
740,1352,0.0002319204795639962,-1
742,1352,1.1819297469628509e-05,-1
860,1424,1.1364471674824017e-07,-1
861,1425,4.406601874507032e-05,-1
860,1423,5.945254088146612e-06,-1
901,1480,3.7421207821353164e-07,-1
338,1185,1.6672937590556103e-06,-1
836,1138,3.0376088488992536e-07,-1
838,1138,3.719669052770769e-07,-1
836,1140,1.195011805066315e-07,-1
795,1125,2.1041149011580274e-05,-1
801,1125,4.928084308630787e-06,-1
873,1424,1.1917348274437245e-05,-1
978,1462,0.007978183217346668,-1
971,1462,0.021729761734604836,-1
