edge_from,edge_to,scores,labels
40154,40154,40154,3964
387,1271,1.812473601603415e-05,-1
952,2034,1.5506127226672106e-07,-1
918,1902,4.152130713919178e-06,-1
1005,1552,3.63352455678978e-06,-1
270,1344,4.418532171257539e-06,-1
933,1629,0.000700781587511301,-1
933,1632,9.718063665786758e-06,-1
885,1568,1.8445034584146924e-06,-1
1054,1346,4.837170308746863e-07,-1
1055,1346,3.75021954823751e-07,-1
222,1242,5.922087439103052e-06,-1
1059,1634,0.0005392786115407944,-1
934,1648,1.315995632467093e-07,-1
948,1649,6.230939106899314e-06,-1
919,1649,5.390284059103578e-06,-1
905,1650,9.52590853557922e-05,-1
919,1650,5.6341308663832024e-05,-1
873,1599,9.698917580180932e-08,-1
859,1599,9.64150004278963e-08,-1
884,1599,9.833931358116388e-08,-1
873,1601,4.012213707937917e-07,-1
859,1601,7.735821441201551e-07,-1
874,1601,2.8040183224220527e-06,-1
900,1634,5.789913848275319e-05,-1
983,1521,0.000689896522089839,-1
384,1826,3.0964093866714393e-07,-1
385,1826,0.0003020435688085854,-1
982,1521,8.974083903012797e-05,-1
811,1601,1.8110335986420978e-06,-1
810,1601,1.352279070943041e-07,-1
971,1360,5.520173090189928e-06,-1
884,1568,7.427876766996633e-07,-1
865,1328,9.083227632800117e-05,-1
866,1328,6.071847747080028e-05,-1
978,1601,3.0947198865760583e-06,-1
1031,1399,2.8641832727771543e-07,-1
854,1568,3.248387372423167e-07,-1
978,1552,3.711861063493416e-05,-1
816,1601,1.005732812586757e-07,-1
805,1601,1.5210697711154353e-05,-1
817,1602,0.0007734615355730057,-1
930,1270,4.38095241861447e-07,-1
946,1270,6.074494649510598e-07,-1
930,1269,9.796993793997899e-08,-1
930,1296,1.4492043476366234e-07,-1
828,1904,1.4471605709331925e-06,-1
262,1344,1.871698145805567e-06,-1
722,1507,2.048259375442285e-05,-1
713,1508,2.4579736418672837e-05,-1
714,1508,1.7061822290997952e-05,-1
827,1504,0.0011436734348535538,-1
1015,1665,4.5731508180324454e-07,-1
1014,1665,1.255752158613177e-05,-1
1016,1665,0.0003753364144358784,-1
951,1585,0.998166561126709,-1
369,1393,4.501702278503217e-06,-1
800,1552,0.00011721617192961276,-1
857,1250,3.492357791401446e-06,-1
177,1243,2.1309228941390757e-06,-1
1074,1601,2.6514564979152055e-06,-1
876,1250,0.00022565739345736802,-1
886,1250,7.773250217724126e-06,-1
877,1250,4.343098680692492e-06,-1
886,1265,0.953209638595581,-1
524,1329,0.0005988757475279272,-1
890,1568,7.861443123147183e-07,-1
831,1250,3.016378514075768e-06,-1
