edge_from,edge_to,scores,labels
36518,36518,36518,3961
1044,1381,0.00019151730521116406,-1
768,1314,1.1334858385225743e-07,-1
982,1705,0.021806886419653893,-1
996,1705,0.00044919378706254065,-1
768,1312,1.7855121825505194e-07,-1
951,1520,1.8738912331173196e-05,-1
810,1506,6.523263436974958e-06,-1
815,1450,2.7890142519026995e-05,-1
944,1315,2.2214435375644825e-06,-1
813,1507,3.501589162624441e-06,-1
825,1507,9.94000544096707e-08,-1
813,1522,1.2118832273699809e-05,-1
825,1522,1.2125276782626315e-07,-1
813,1523,1.0259070222673472e-05,-1
825,1523,1.0916127024529487e-07,-1
1014,1538,0.0002780341310426593,-1
1014,1539,0.00026856400654651225,-1
917,1648,0.0008476137882098556,-1
918,1648,2.8255200845705986e-07,-1
903,1648,1.5363524425993091e-06,-1
917,1667,3.3574601729924325e-06,-1
918,1667,4.2014366385956237e-07,-1
903,1667,1.1444227311585564e-05,-1
917,1668,4.2630472307791933e-05,-1
992,1537,4.464756671040959e-07,-1
900,1570,1.0008092488078546e-07,-1
901,1570,1.841417542891577e-07,-1
915,1571,4.0899726627685595e-06,-1
900,1571,1.9935773707402404e-06,-1
901,1571,0.00013496728206519037,-1
766,1312,5.2434807003010064e-06,-1
858,1249,6.619281521125231e-06,-1
900,1563,1.926304094013176e-06,-1
901,1563,0.00011602749873418361,-1
968,1569,4.606940819940064e-06,-1
970,1569,7.878818905737717e-06,-1
969,1569,4.186639671388548e-06,-1
939,1569,3.6527408155961893e-06,-1
968,1564,4.222398729325505e-06,-1
970,1564,1.7133303117589094e-05,-1
969,1564,2.002265136979986e-05,-1
939,1564,0.00025633908808231354,-1
388,1344,0.00024584439233876765,-1
722,1428,0.00022073007130529732,-1
776,1217,1.5370632127087447e-06,-1
778,1217,7.662105758754478e-07,-1
858,1312,1.6828942534630187e-05,-1
1036,1683,4.173266006546328e-06,-1
322,1810,2.7482592486194335e-05,-1
984,1349,3.235181566196843e-06,-1
964,1570,9.609729204385076e-06,-1
879,1347,9.574684156632429e-08,-1
835,2117,9.615908311388921e-06,-1
836,2117,4.5978733396623284e-05,-1
875,1346,1.0374107972666025e-07,-1
918,1540,1.052562552672498e-07,-1
903,1540,1.2855952036261442e-07,-1
927,1570,2.2297115265246248e-07,-1
869,1313,2.2725864255335182e-05,-1
870,1313,1.609929967116841e-07,-1
766,1314,1.5659567225156934e-06,-1
775,1505,7.331550477829296e-07,-1
748,1521,1.1150426360018173e-07,-1
747,1521,1.2680222027938726e-07,-1
852,1231,3.484578337520361e-05,-1
852,1233,1.0515973514202415e-07,-1
898,1504,1.4874516409690841e-06,-1
903,1563,6.783714070479618e-06,-1
1157,1395,7.714051753282547e-05,-1
852,1313,1.6508674605120177e-07,-1
1029,2126,2.3781696256719442e-07,-1
854,1312,1.0541518946638462e-07,-1
780,1505,9.160478953162965e-07,-1
316,1810,0.00015200737107079476,-1
868,1348,3.241169224565965e-06,-1
869,1346,9.905711806368345e-08,-1
870,1346,9.567016689970842e-08,-1
883,1346,9.717841464862431e-08,-1
869,1347,9.637656717131904e-08,-1
870,1347,9.545163237589804e-08,-1
883,1347,9.793349420306185e-08,-1
817,2075,8.492653478242573e-07,-1
920,2113,1.1948119208682328e-05,-1
1000,2145,1.7324504369753413e-05,-1
899,1570,2.947918744666822e-07,-1
818,1485,2.5746714527485892e-05,-1
801,1302,3.2552054562984267e-06,-1
875,1540,1.033321126442388e-07,-1
1016,1633,6.210271294548875e-06,-1
997,1298,3.817011474893661e-06,-1
320,1273,6.075071723898873e-06,-1
321,1273,3.6941983125871047e-06,-1
961,1619,1.8559835552878212e-06,-1
414,1314,9.639661158189483e-08,-1
1090,1394,0.00024040417338255793,-1
485,1380,0.0002040575782302767,-1
860,1249,6.5416725192335434e-06,-1
648,1458,0.0005929139442741871,-1
649,1458,5.137221160111949e-05,-1
920,1633,3.857532647089101e-06,-1
855,1616,0.0001786497450666502,-1
873,1617,7.681532588321716e-05,-1
855,1617,0.0002735998132266104,-1
758,1921,9.011941074277274e-06,-1
759,1921,9.53397830016911e-05,-1
760,1921,1.6259491530945525e-06,-1
807,1350,1.1176376801813603e-06,-1
817,1450,7.583607839478645e-07,-1
804,1561,2.214277401435538e-06,-1
792,1561,1.702240297163371e-06,-1
817,2081,0.00010730985377449542,-1
825,2116,0.0002135926770279184,-1
764,1217,7.026156367828662e-07,-1
775,1217,2.7595983738137875e-06,-1
840,1633,3.60897672635474e-07,-1
819,1280,9.945922130327745e-08,-1
1011,1569,0.000356468342943117,-1
982,1570,2.865653243588895e-07,-1
1011,1571,2.384670096944319e-06,-1
739,1200,4.325580903241644e-06,-1
758,1924,2.662506631168071e-06,-1
759,1924,3.6149981497146655e-06,-1
760,1924,2.8214403755555395e-06,-1
869,1231,1.5342953702202067e-05,-1
870,1231,1.686098443087758e-07,-1
869,1233,9.827705582665658e-08,-1
870,1233,1.0393279836762304e-07,-1
1022,1633,9.306178981205449e-06,-1
1013,1569,4.7929820539138746e-06,-1
998,1569,0.00030755242914892733,-1
997,1570,1.1343855277345938e-07,-1
867,1349,2.891129770432599e-05,-1
1003,2122,7.524956890847534e-05,-1
890,1329,0.00012689665891230106,-1
891,1329,1.6208572560572065e-05,-1
890,1328,0.0005874307244084775,-1
891,1328,0.0008812327869236469,-1
860,1348,3.912783540727105e-06,-1
879,1348,5.11954681314819e-07,-1
979,1329,1.5911078662611544e-05,-1
992,1298,0.00033419986721128225,-1
996,1299,6.015178223606199e-05,-1
814,1506,2.8914491849718615e-06,-1
984,1329,2.7202577257412486e-06,-1
1002,1349,3.402749825909268e-06,-1
986,1349,6.56746396998642e-06,-1
838,1312,1.5740219168947078e-05,-1
875,1601,1.5603187364376936e-07,-1
857,1601,2.3717540898360312e-05,-1
785,1506,4.866357357968809e-06,-1
1008,1633,0.000812626036349684,-1
867,1538,7.247151643241523e-07,-1
867,1537,1.8046718253117433e-07,-1
867,1539,9.857448048933293e-07,-1
722,1489,6.5961803557001986e-06,-1
741,1506,1.0760143140942091e-06,-1
220,1283,2.020259216806153e-06,-1
953,1303,0.0006774963112547994,-1
927,1540,1.3120412404532544e-05,-1
704,1217,3.682752549138968e-06,-1
802,1280,9.955506641290413e-08,-1
900,1538,6.0580341596505605e-06,-1
901,1538,0.00023531726037617773,-1
916,1537,1.1321180437562361e-07,-1
900,1537,1.0043507359114301e-07,-1
901,1537,1.0814973450123944e-07,-1
916,1539,0.00011755510786315426,-1
900,1539,5.6744529501884244e-06,-1
901,1539,0.0004086667613591999,-1
345,1280,1.0872138034301315e-07,-1
758,1280,1.0191362065370413e-07,-1
758,1281,7.320016447920352e-05,-1
809,1506,1.1487397387099918e-05,-1
811,1506,1.7262331311940216e-05,-1
721,1456,1.9102810256299563e-05,-1
870,1490,1.250843342859298e-05,-1
904,1345,0.021467676386237144,-1
763,1450,0.8850082159042358,0
953,1349,8.171923582267482e-06,-1
803,1561,2.1177322651055874e-06,-1
211,1273,9.278131983592175e-06,-1
992,1299,0.00035876946640200913,-1
381,1282,1.6181172668439103e-07,-1
1073,1664,0.001525782747194171,-1
782,1505,2.985589844684e-06,-1
180,1777,5.767408947576769e-05,-1
1014,1571,3.894986730301753e-05,-1
1000,1569,0.00030725024407729506,-1
983,1569,3.4735312510747463e-06,-1
983,1570,1.8530850809383992e-07,-1
1000,1564,2.4927476260927506e-06,-1
1000,1571,1.4280464029070572e-06,-1
983,1571,0.00038085252163000405,-1
813,1450,3.910446321242489e-05,-1
999,1349,0.00030608399538323283,-1
869,1538,3.7390847751339606e-07,-1
870,1538,2.418425708583527e-07,-1
869,1537,1.4373547685408994e-07,-1
870,1537,1.1175337277791186e-07,-1
869,1539,4.6298430333990837e-07,-1
870,1539,2.5308190743089654e-07,-1
1094,1696,7.122972601791844e-05,-1
886,2079,1.4868348898744443e-06,-1
754,1564,5.725560754399339e-07,-1
1025,1668,8.276913831650745e-06,-1
1025,1681,5.294952188705793e-06,-1
533,1396,1.909283128043171e-05,-1
1016,1538,0.0002209559897892177,-1
1016,1539,0.00029541642288677394,-1
909,1540,2.9325107675504114e-07,-1
1100,1392,0.00014188734348863363,-1
1105,1392,0.00030248306575231254,-1
714,1217,1.9251490357419243e-06,-1
193,1777,2.9318193810468074e-06,-1
192,1777,6.157140160212293e-05,-1
865,1351,0.0003126012161374092,-1
978,1632,2.708944521145895e-05,-1
1024,1632,0.0010450930567458272,-1
868,1351,2.2585349768178276e-07,-1
852,1351,3.15238395387496e-07,-1
900,1529,3.7877953218412586e-07,-1
901,1529,2.2256101601669798e-06,-1
1018,1345,7.660381129426241e-07,-1
1019,1345,7.829181072338542e-07,-1
852,1648,4.354837801656686e-05,-1
902,1596,4.1562438127584755e-05,-1
917,1616,0.00020641085575334728,-1
918,1616,9.210592907038517e-06,-1
903,1616,7.489829386031488e-06,-1
917,1617,0.0002008154842769727,-1
918,1617,9.69392090155452e-07,-1
903,1617,2.247577640446252e-06,-1
759,1281,0.001818935968913138,-1
760,1281,0.0004046164976898581,-1
876,2098,1.205031821882585e-05,-1
414,1312,1.0114501236557771e-07,-1
869,1351,6.085006134526338e-07,-1
871,1351,2.2301625790532853e-07,-1
870,1351,4.3513554714991187e-07,-1
883,1351,2.2684365319491917e-07,-1
1124,1698,0.0004308272327762097,-1
392,1361,7.650520274182782e-06,-1
968,1633,0.0004669889167416841,-1
970,1633,0.0006636400357820094,-1
969,1633,0.00011505805741762742,-1
939,1633,3.323542478028685e-05,-1
970,1634,9.722272409362631e-08,-1
