edge_from,edge_to,scores,labels
34016,34016,34016,3770
1043,1574,0.0013450722908601165,-1
915,1216,0.00016360597510356456,-1
751,1496,2.874973688449245e-06,-1
833,1284,1.3456848364512553e-06,-1
835,1284,0.00012577547749970108,-1
979,1558,6.507648777187569e-06,-1
992,1558,6.896852937643416e-06,-1
950,1585,1.077550678019179e-06,-1
951,1585,2.3753548248350853e-06,-1
705,1394,0.06535044312477112,-1
801,1476,1.2841403076890856e-05,-1
881,1475,4.027197974210139e-06,-1
815,1220,9.799441613722593e-08,-1
825,1220,9.57132400003502e-08,-1
814,1222,2.2852937036077492e-05,-1
815,1222,1.6313651940436102e-07,-1
825,1222,9.850825932744556e-08,-1
814,1223,2.065839908027556e-06,-1
815,1223,9.571999726176728e-08,-1
824,1223,2.2231897673918866e-06,-1
825,1223,9.588555371919938e-08,-1
886,1557,7.486340223294974e-07,-1
737,1440,4.258133230905514e-06,-1
812,1220,1.9832071984637878e-07,-1
820,1222,8.060483196459245e-07,-1
811,1222,1.53517939907033e-05,-1
812,1222,4.761209879688977e-07,-1
811,1221,0.0002140646247426048,-1
821,1223,0.0003076069406233728,-1
811,1223,1.7586553724413534e-07,-1
288,1251,4.862739046984643e-07,-1
289,1251,4.404673290991923e-06,-1
886,1556,1.4879211107654555e-07,-1
951,1556,2.1301302695064805e-06,-1
951,1557,4.804303898708895e-06,-1
808,1296,9.742599615947256e-08,-1
921,1475,2.4809016395010985e-05,-1
906,1475,1.5873557401846483e-07,-1
959,1558,0.00010568735160632059,-1
844,1476,4.276761319488287e-05,-1
743,1761,4.176662059762748e-06,-1
1026,1571,2.3396307824441465e-06,-1
819,1220,7.38326207283535e-07,-1
809,1220,6.791125542804366e-06,-1
810,1220,9.635248687800413e-08,-1
809,1222,0.00012224614329170436,-1
810,1222,1.2047554776017932e-07,-1
809,1221,1.1936445844185073e-05,-1
810,1221,1.0592489729788213e-07,-1
818,1223,2.0009085801575566e-06,-1
819,1223,1.4907279819453834e-06,-1
809,1223,2.1816035769006703e-06,-1
810,1223,9.557879110388967e-08,-1
871,1201,3.073496941397025e-07,-1
846,1220,5.312622874953377e-07,-1
817,1220,3.6893293327011634e-06,-1
847,1220,2.889676977702038e-07,-1
808,1220,1.070670592184797e-07,-1
846,1222,2.7837047582579544e-06,-1
817,1222,7.837598241167143e-05,-1
847,1222,8.432527920376742e-07,-1
808,1222,1.9173495502400328e-07,-1
808,1221,7.593545888084918e-06,-1
817,1223,1.6130835547301103e-06,-1
798,1476,6.999978722888045e-06,-1
790,1204,1.5685259313613642e-07,-1
774,1204,3.988274954735971e-07,-1
790,1205,0.00011583293962758034,-1
884,1556,1.2809280178771587e-06,-1
844,1571,1.53587038198566e-07,-1
