edge_from,edge_to,scores,labels
29376,29376,29376,3556
894,1489,1.3751972574027604e-06,-1
910,1489,6.851558964626747e-07,-1
788,1740,7.690005077165551e-06,-1
851,1489,1.0330014674764243e-06,-1
852,1489,1.0063487820843875e-07,-1
681,1394,8.904512469598558e-06,-1
758,1426,0.00024235897581093013,-1
760,1426,2.1070391085231677e-06,-1
759,1426,1.7508968085166998e-05,-1
774,1426,1.6374441429434228e-06,-1
758,1428,1.0347048373660073e-05,-1
760,1428,3.0030548714421457e-06,-1
759,1428,0.0005349811399355531,-1
774,1428,2.3768800474499585e-06,-1
705,1200,0.03716420382261276,-1
915,1181,6.417538315872662e-06,-1
718,1139,4.163907760812435e-06,-1
721,1139,6.92890680511482e-05,-1
719,1140,2.9444847768900217e-06,-1
898,1445,3.05639005091507e-05,-1
797,1408,4.851825678997557e-07,-1
986,1283,1.755230186972767e-05,-1
993,1283,1.6059006156865507e-05,-1
804,1169,0.0002633324475027621,-1
160,1160,2.87891339212365e-06,-1
865,1249,0.0002841091773007065,-1
682,1378,4.480424649955239e-06,-1
722,1140,1.3543633770041197e-07,-1
723,1140,1.330172949565167e-07,-1
737,1140,2.8603967621165793e-06,-1
857,1429,8.529848855687305e-06,-1
870,1249,6.0205802583368495e-06,-1
856,1249,4.865390292252414e-05,-1
949,1494,1.3017491255595814e-05,-1
786,1188,1.1739183491954464e-07,-1
787,1188,1.0418447260462926e-07,-1
789,1188,1.0377571157960119e-07,-1
939,1296,1.2013207424388384e-06,-1
912,1425,0.00031477719312533736,-1
876,1416,0.00010361760359955952,-1
914,1425,0.000267199648078531,-1
897,1415,1.3649609797994344e-07,-1
897,1416,6.491443400591379e-07,-1
751,1394,1.7206099300892674e-06,-1
719,1408,2.7392659831093624e-05,-1
797,1188,1.731611121158494e-07,-1
1007,1286,2.1285779439494945e-05,-1
253,1184,1.3311529073689599e-05,-1
767,1440,0.0009215727332048118,-1
781,1248,2.824851435434539e-06,-1
792,1188,1.031200511647512e-07,-1
793,1188,2.7619049092209025e-07,-1
765,1507,1.639217401816495e-07,-1
750,1456,9.699028424847711e-08,-1
910,1868,2.84046236629365e-05,-1
854,1732,0.00019396442803554237,-1
794,1188,1.0630256497279333e-07,-1
796,1188,7.89659338806814e-07,-1
893,1264,3.645888000392006e-07,-1
872,1249,0.00019883342611137778,-1
766,1750,9.028887575368572e-07,-1
953,1494,0.0039660451002418995,-1
727,1168,6.388005999724555e-07,-1
871,1536,2.993481530211284e-06,-1
861,1536,1.2927140460305964e-06,-1
845,1536,1.5548642977591953e-06,-1
871,1538,1.0659096915333066e-05,-1
861,1538,2.146286533388775e-06,-1
845,1538,1.8863169088945142e-06,-1
871,1537,0.0005251762340776622,-1
861,1537,3.6843179259449244e-05,-1
845,1537,1.8979766537086107e-05,-1
929,1542,2.0412630874488968e-07,-1
