edge_from,edge_to,scores,labels
26560,26560,26560,3410
820,1408,3.0706846132488863e-07,-1
818,1410,5.427125984169834e-07,-1
819,1408,4.077982396211155e-07,-1
787,1392,3.0540541047230363e-06,-1
953,1491,9.827619578572921e-06,-1
864,1445,3.2977646924337023e-07,-1
778,1201,2.805858457577415e-06,-1
785,1201,4.063616870553233e-06,-1
913,1255,3.6544824411066656e-07,-1
821,1200,0.0003770783368963748,-1
929,1261,1.4932960823443864e-07,-1
197,1184,0.0004174976493231952,-1
929,1404,2.27728123718407e-05,-1
879,1168,9.86472130648508e-08,-1
906,1691,3.5574703360907733e-06,-1
779,1345,4.829997806155006e-07,-1
837,1408,2.9561135761468904e-06,-1
852,1410,7.665349812668865e-07,-1
837,1410,6.93504716764437e-07,-1
809,1441,8.90660157892853e-06,-1
810,1440,6.707052762067178e-07,-1
813,1440,9.074086847249418e-06,-1
812,1431,2.954304136437713e-06,-1
811,1431,6.770496270291915e-07,-1
812,1441,5.310365850164089e-06,-1
811,1441,0.00014074103091843426,-1
52,1127,0.04330384358763695,-1
777,1432,0.0007058217888697982,-1
798,1681,9.732197980838464e-08,-1
754,1411,7.31594070657593e-07,-1
917,1696,1.1602488712014747e-06,-1
921,1255,6.56033705581649e-07,-1
795,1392,7.811796240275726e-05,-1
933,1491,5.3215599109535106e-06,-1
950,1491,3.6975573038944276e-06,-1
757,1351,0.0009162368369288743,-1
946,1491,6.212125299498439e-06,-1
800,1763,4.159590389463119e-05,-1
752,1392,0.00024586429935880005,-1
904,1691,4.7333890051959315e-07,-1
934,1408,0.0009514078265056014,-1
743,1411,2.211858009104617e-05,-1
833,1213,0.00010010074765887111,-1
755,1441,2.872789991670288e-05,-1
288,1184,4.6434397518169135e-05,-1
288,1186,0.0002476511581335217,-1
794,1188,1.030771841215028e-07,-1
780,1188,1.5057302960030938e-07,-1
965,1459,1.1386598544049775e-06,-1
769,1361,1.2412114074322744e-06,-1
793,1148,8.461855031782761e-06,-1
785,1430,1.2450228723537293e-06,-1
782,1252,1.6473319419674226e-06,-1
783,1252,2.0555148694256786e-06,-1
289,1184,5.582042831520084e-06,-1
289,1186,3.7844299640710233e-06,-1
253,1185,1.8344695718042203e-07,-1
743,1344,2.3811244886928762e-07,-1
722,1126,4.512749455898302e-06,-1
778,1153,5.665109711117111e-06,-1
778,1148,4.676286152971443e-06,-1
834,1410,7.356505307143379e-07,-1
835,1410,1.3017796618441935e-06,-1
851,1410,1.5263954082911368e-06,-1
836,1410,2.454990237765742e-07,-1
884,1214,2.0495548596954904e-05,-1
911,1218,3.7326572055462748e-06,-1
52,1090,7.19394802217721e-06,-1
782,1201,3.1738240977574605e-06,-1
783,1201,3.0389983294298872e-06,-1
897,1424,5.353013534659112e-07,-1
253,1217,5.5790460464777425e-05,-1
709,1410,5.03780142935284e-07,-1
808,1123,0.0019239189568907022,-1
843,1408,4.525415533862542e-06,-1
858,1410,5.5917721510923e-06,-1
859,1410,2.8857991765107727e-06,-1
843,1410,7.175922291935422e-07,-1
844,1410,2.0890536234219326e-06,-1
115,1126,6.278092041611671e-05,-1
803,1200,8.912898920243606e-06,-1
799,1200,7.81535891292151e-06,-1
952,1484,0.00024830418988130987,-1
951,1489,3.0060928111197427e-05,-1
952,1489,1.4371042198035866e-05,-1
951,1490,2.0554780348902568e-05,-1
952,1490,3.184883462381549e-05,-1
880,1214,2.885684443754144e-05,-1
728,1432,0.05854283273220062,-1
856,1168,9.553140500884183e-08,-1
772,1344,2.745232450251933e-07,-1
804,1491,0.30958521366119385,-1
899,1424,2.0616773781512165e-06,-1
999,1492,0.0002399097866145894,-1
897,1214,1.2630557648662943e-05,-1
71,1125,0.001304585486650467,-1
917,1252,1.8463090327713871e-06,-1
918,1252,2.8735864816553658e-06,-1
907,1252,0.00032290039234794676,-1
790,1218,3.998042302555405e-06,-1
791,1218,3.3861008432722883e-06,-1
899,1214,0.009324844926595688,-1
407,1187,9.119258379541861e-07,-1
746,1412,1.2448205666260037e-07,-1
889,1430,1.548405066387204e-07,-1
807,1200,0.00030068971682339907,-1
808,1200,5.742666417063447e-06,-1
829,1138,1.0373372560934513e-06,-1
315,1137,1.7742982890922576e-05,-1
317,1137,1.577154762344435e-05,-1
821,1138,8.10013887075911e-07,-1
681,1138,2.1162551888664893e-07,-1
879,1214,1.5403018551296555e-05,-1
813,1200,0.10996753722429276,-1
711,1334,0.00016865065845195204,-1
816,1411,4.49080090447751e-07,-1
959,1489,2.9814142180839553e-05,-1
959,1490,2.0591663997038268e-05,-1
916,1251,6.977309385547414e-05,-1
775,1213,6.779090199415805e-06,-1
978,1459,2.1173766526771942e-06,-1
792,1392,1.717061604722403e-05,-1
903,1251,1.1817541434311352e-07,-1
903,1252,9.203271815749758e-07,-1
897,1485,0.0002444660058245063,-1
952,1827,1.8305599951418117e-05,-1
921,1251,2.515241988021444e-07,-1
910,1251,1.2957011676917318e-05,-1
948,1491,0.00010943364031845704,-1
948,1492,9.517092985333875e-05,-1
827,1126,1.5256751794368029e-05,-1
817,1412,0.00021550594829022884,-1
792,1345,7.5876369010075e-07,-1
750,1168,1.015623851685632e-07,-1
739,1430,1.4338567666527524e-07,-1
740,1430,4.6500567805196624e-06,-1
724,1408,7.705867801632849e-07,-1
953,1489,1.3848143680661451e-05,-1
954,1489,2.689763823582325e-05,-1
